!SIL	SIL
<SPOKEN_NOISE>	SPN
가져가야	f0 m0 f12 m6 f0 m0 f11 m2
가져가야겠다	f0 m0 f12 m6 f0 m0 f11 m2 f0 m5 e19 f3 m0
가져가야겠어	f0 m0 f12 m6 f0 m0 f11 m2 f0 m5 e19 f11 m4
가져가야돼	f0 m0 f12 m6 f0 m0 f11 m2 f3 m10
가져가야되나	f0 m0 f12 m6 f0 m0 f11 m2 f3 m11 f2 m0
가져가야되지	f0 m0 f12 m6 f0 m0 f11 m2 f3 m11 f12 m20
가져가야하나	f0 m0 f12 m6 f0 m0 f11 m2 f18 m0 f2 m0
가져가야하니까	f0 m0 f12 m6 f0 m0 f11 m2 f18 m0 f2 m20 f1 m0
가져가야할지	f0 m0 f12 m6 f0 m0 f11 m2 f18 m0 e7 f12 m20
가져가입니다	f0 m0 f12 m6 f0 m0 f11 m20 e16 f2 m20 f3 m0
가져가지	f0 m0 f12 m6 f0 m0 f12 m20
가져갈	f0 m0 f12 m6 f0 m0 e7
가져다	f0 m0 f12 m6 f3 m0
가져다줄래	f0 m0 f12 m6 f3 m0 f12 m13 e7 f5 m1
가져야	f0 m0 f12 m6 f11 m2
가져야겠다	f0 m0 f12 m6 f11 m2 f0 m5 e19 f3 m0
가져야겠어	f0 m0 f12 m6 f11 m2 f0 m5 e19 f11 m4
가져온	f0 m0 f12 m6 f11 m8 e3
가져올	f0 m0 f12 m6 f11 m8 e7
가져올래	f0 m0 f12 m6 f11 m8 e7 f5 m1
가져와	f0 m0 f12 m6 f11 m9
가져와봐	f0 m0 f12 m6 f11 m9 f7 m9
가져왔습니다	f0 m0 f12 m6 f11 m9 e19 f9 m18 e16 f2 m20 f3 m0
가져요	f0 m0 f12 m6 f11 m12
가졌다	f0 m0 f12 m6 e19 f3 m0
가졌습니다	f0 m0 f12 m6 e19 f9 m18 e16 f2 m20 f3 m0
가졌으면	f0 m0 f12 m6 e19 f11 m18 f6 m6 e3
가졌지	f0 m0 f12 m6 e19 f12 m20
가족	f0 m0 f12 m8 e0
가족계획이	f0 m0 f12 m8 e0 f0 m7 f18 m11 e0 f11 m20
가족과	f0 m0 f12 m8 e0 f0 m9
가족끼리	f0 m0 f12 m8 e0 f1 m20 f5 m20
가족나들이	f0 m0 f12 m8 e0 f2 m0 f3 m18 e7 f11 m20
가족나들이를	f0 m0 f12 m8 e0 f2 m0 f3 m18 e7 f11 m20 f5 m18 e7
가족날	f0 m0 f12 m8 e0 f2 m0 e7
가족들	f0 m0 f12 m8 e0 f3 m18 e7
가족들과	f0 m0 f12 m8 e0 f3 m18 e7 f0 m9
가족들에게	f0 m0 f12 m8 e0 f3 m18 e7 f11 m5 f0 m5
가족들에게도	f0 m0 f12 m8 e0 f3 m18 e7 f11 m5 f0 m5 f3 m8
가족들은	f0 m0 f12 m8 e0 f3 m18 e7 f11 m18 e3
가족들의	f0 m0 f12 m8 e0 f3 m18 e7 f11 m19
가족들이	f0 m0 f12 m8 e0 f3 m18 e7 f11 m20
가족들이랑	f0 m0 f12 m8 e0 f3 m18 e7 f11 m20 f5 m0 e20
가족들하고	f0 m0 f12 m8 e0 f3 m18 e7 f18 m0 f0 m8
가족들한테	f0 m0 f12 m8 e0 f3 m18 e7 f18 m0 e3 f16 m5
가족모임	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15
가족모임으로	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m18 f5 m8
가족모임은	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m18 e3
가족모임을	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m18 e7
가족모임이	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m20
가족모임이거든	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m20 f0 m4 f3 m18 e3
가족모임이야	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m20 f11 m2
가족모임인데	f0 m0 f12 m8 e0 f6 m8 f11 m20 e15 f11 m20 e3 f3 m5
가족뮤지컬	f0 m0 f12 m8 e0 f6 m17 f12 m20 f15 m4 e7
가족식사	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0
가족식사가	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0 f0 m0
가족식사는	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0 f2 m18 e3
가족식사모임	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0 f6 m8 f11 m20 e15
가족식사모임은	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0 f6 m8 f11 m20 e15 f11 m18 e3
가족식사모임을	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0 f6 m8 f11 m20 e15 f11 m18 e7
가족식사모임이	f0 m0 f12 m8 e0 f9 m20 e0 f9 m0 f6 m8 f11 m20 e15 f11 m20
가족여행	f0 m0 f12 m8 e0 f11 m6 f18 m1 e20
가족여행을	f0 m0 f12 m8 e0 f11 m6 f18 m1 e20 f11 m18 e7
가족여행이	f0 m0 f12 m8 e0 f11 m6 f18 m1 e20 f11 m20
가족외식이	f0 m0 f12 m8 e0 f11 m11 f9 m20 e0 f11 m20
가족은	f0 m0 f12 m8 e0 f11 m18 e3
가족을	f0 m0 f12 m8 e0 f11 m18 e7
가족의	f0 m0 f12 m8 e0 f11 m19
가족이	f0 m0 f12 m8 e0 f11 m20
가족이랑	f0 m0 f12 m8 e0 f11 m20 f5 m0 e20
가족일정	f0 m0 f12 m8 e0 f11 m20 e7 f12 m4 e20
가족일정에	f0 m0 f12 m8 e0 f11 m20 e7 f12 m4 e20 f11 m5
가족중에	f0 m0 f12 m8 e0 f12 m13 e20 f11 m5
가족피서가	f0 m0 f12 m8 e0 f17 m20 f9 m4 f0 m0
가족하고	f0 m0 f12 m8 e0 f18 m0 f0 m8
가족하고의	f0 m0 f12 m8 e0 f18 m0 f0 m8 f11 m19
가족행사	f0 m0 f12 m8 e0 f18 m1 e20 f9 m0
가족행사를	f0 m0 f12 m8 e0 f18 m1 e20 f9 m0 f5 m18 e7
가족행사모임	f0 m0 f12 m8 e0 f18 m1 e20 f9 m0 f6 m8 f11 m20 e15
가족행사모임이	f0 m0 f12 m8 e0 f18 m1 e20 f9 m0 f6 m8 f11 m20 e15 f11 m20
가종	f0 m0 f12 m8 e20
가줄래	f0 m0 f12 m13 e7 f5 m1
가중금	f0 m0 f12 m13 e20 f0 m18 e15
가중입니다	f0 m0 f12 m13 e20 f11 m20 e16 f2 m20 f3 m0
가줘	f0 m0 f12 m14
가지	f0 m0 f12 m20
가지가	f0 m0 f12 m20 f0 m0
가지게	f0 m0 f12 m20 f0 m5
가지고	f0 m0 f12 m20 f0 m8
가지고는	f0 m0 f12 m20 f0 m8 f2 m18 e3
가지구	f0 m0 f12 m20 f0 m13
가지나	f0 m0 f12 m20 f2 m0
가지는	f0 m0 f12 m20 f2 m18 e3
가지로	f0 m0 f12 m20 f5 m8
가지를	f0 m0 f12 m20 f5 m18 e7
가지만	f0 m0 f12 m20 f6 m0 e3
가지않았어요	f0 m0 f12 m20 f11 m0 e5 f11 m0 e19 f11 m4 f11 m12
가지야	f0 m0 f12 m20 f11 m2
가지의	f0 m0 f12 m20 f11 m19
가지지	f0 m0 f12 m20 f12 m20
가진	f0 m0 f12 m20 e3
가진지	f0 m0 f12 m20 e3 f12 m20
가질	f0 m0 f12 m20 e7
가질거야	f0 m0 f12 m20 e7 f0 m4 f11 m2
가집니다	f0 m0 f12 m20 e16 f2 m20 f3 m0
가짜	f0 m0 f13 m0
가짜입니다	f0 m0 f13 m0 f11 m20 e16 f2 m20 f3 m0
가치	f0 m0 f14 m20
가치가	f0 m0 f14 m20 f0 m0
가파른	f0 m0 f17 m0 f5 m18 e3
가평	f0 m0 f17 m6 e20
가평계곡이	f0 m0 f17 m6 e20 f0 m7 f0 m8 e0 f11 m20
가평의	f0 m0 f17 m6 e20 f11 m19
가평지역	f0 m0 f17 m6 e20 f12 m20 f11 m6 e0
가희에게	f0 m0 f18 m19 f11 m5 f0 m5
가희한테	f0 m0 f18 m19 f18 m0 e3 f16 m5
각	f0 m0 e0
각각	f0 m0 e0 f0 m0 e0
각각의	f0 m0 e0 f0 m0 e0 f11 m19
각광이	f0 m0 e0 f0 m9 e20 f11 m20
각국의	f0 m0 e0 f0 m13 e0 f11 m19
각기	f0 m0 e0 f0 m20
각서	f0 m0 e0 f9 m4
각오로	f0 m0 e0 f11 m8 f5 m8
각오를	f0 m0 e0 f11 m8 f5 m18 e7
각오해야가	f0 m0 e0 f11 m8 f18 m1 f11 m2 f0 m0
각자	f0 m0 e0 f12 m0
각자의	f0 m0 e0 f12 m0 f11 m19
각종	f0 m0 e0 f12 m8 e20
각하의견이	f0 m0 e0 f18 m0 f11 m19 f0 m6 e3 f11 m20
간	f0 m0 e3
간간이	f0 m0 e3 f0 m0 e3 f11 m20
간다	f0 m0 e3 f3 m0
간다고	f0 m0 e3 f3 m0 f0 m8
간다는	f0 m0 e3 f3 m0 f2 m18 e3
간다니	f0 m0 e3 f3 m0 f2 m20
간다로	f0 m0 e3 f3 m0 f5 m8
간다입니다	f0 m0 e3 f3 m0 f11 m20 e16 f2 m20 f3 m0
간단다	f0 m0 e3 f3 m0 e3 f3 m0
간단하게	f0 m0 e3 f3 m0 e3 f18 m0 f0 m5
간단하고	f0 m0 e3 f3 m0 e3 f18 m0 f0 m8
간단한	f0 m0 e3 f3 m0 e3 f18 m0 e3
간단히	f0 m0 e3 f3 m0 e3 f18 m20
간대	f0 m0 e3 f3 m1
간데	f0 m0 e3 f3 m5
간도는	f0 m0 e3 f3 m8 f2 m18 e3
간도협약	f0 m0 e3 f3 m8 f18 m6 e16 f11 m2 e0
간부	f0 m0 e3 f7 m13
간부들에게	f0 m0 e3 f7 m13 f3 m18 e7 f11 m5 f0 m5
간부모임이	f0 m0 e3 f7 m13 f6 m8 f11 m20 e15 f11 m20
간부와의	f0 m0 e3 f7 m13 f11 m9 f11 m19
간부회의입니다	f0 m0 e3 f7 m13 f18 m11 f11 m19 f11 m20 e16 f2 m20 f3 m0
간선버스	f0 m0 e3 f9 m4 e3 f7 m4 f9 m18
간선버스나	f0 m0 e3 f9 m4 e3 f7 m4 f9 m18 f2 m0
간선버스로	f0 m0 e3 f9 m4 e3 f7 m4 f9 m18 f5 m8
간선버스이고	f0 m0 e3 f9 m4 e3 f7 m4 f9 m18 f11 m20 f0 m8
간선버스이며	f0 m0 e3 f9 m4 e3 f7 m4 f9 m18 f11 m20 f6 m6
간식	f0 m0 e3 f9 m20 e0
간신히	f0 m0 e3 f9 m20 e3 f18 m20
간에	f0 m0 e3 f11 m5
간염	f0 m0 e3 f11 m6 e15
간의	f0 m0 e3 f11 m19
간이에요	f0 m0 e3 f11 m20 f11 m5 f11 m12
간입니다	f0 m0 e3 f11 m20 e16 f2 m20 f3 m0
간절한	f0 m0 e3 f12 m4 e7 f18 m0 e3
간절히	f0 m0 e3 f12 m4 e7 f18 m20
간접	f0 m0 e3 f12 m4 e16
간접광고	f0 m0 e3 f12 m4 e16 f0 m9 e20 f0 m8
간지	f0 m0 e3 f12 m20
간직하고	f0 m0 e3 f12 m20 e0 f18 m0 f0 m8
간질환	f0 m0 e3 f12 m20 e7 f18 m9 e3
간판	f0 m0 e3 f17 m0 e3
간판으로	f0 m0 e3 f17 m0 e3 f11 m18 f5 m8
간편하고	f0 m0 e3 f17 m6 e3 f18 m0 f0 m8
간편한	f0 m0 e3 f17 m6 e3 f18 m0 e3
간혹	f0 m0 e3 f18 m8 e0
갇혀	f0 m0 e6 f18 m6
갇힌	f0 m0 e6 f18 m20 e3
갈	f0 m0 e7
갈거거든	f0 m0 e7 f0 m4 f0 m4 f3 m18 e3
갈거냐고	f0 m0 e7 f0 m4 f2 m2 f0 m8
갈거니까	f0 m0 e7 f0 m4 f2 m20 f1 m0
갈거야	f0 m0 e7 f0 m4 f11 m2
갈건데	f0 m0 e7 f0 m4 e3 f3 m5
갈걸	f0 m0 e7 f0 m4 e7
갈게	f0 m0 e7 f0 m5
갈게라고	f0 m0 e7 f0 m5 f5 m0 f0 m8
갈게로	f0 m0 e7 f0 m5 f5 m8
갈게요	f0 m0 e7 f0 m5 f11 m12
갈게입니다	f0 m0 e7 f0 m5 f11 m20 e16 f2 m20 f3 m0
갈고	f0 m0 e7 f0 m8
갈까	f0 m0 e7 f1 m0
갈까요	f0 m0 e7 f1 m0 f11 m12
갈꺼거든	f0 m0 e7 f1 m4 f0 m4 f3 m18 e3
갈꺼야	f0 m0 e7 f1 m4 f11 m2
갈께	f0 m0 e7 f1 m5
갈등	f0 m0 e7 f3 m18 e20
갈등을	f0 m0 e7 f3 m18 e20 f11 m18 e7
갈등이	f0 m0 e7 f3 m18 e20 f11 m20
갈때	f0 m0 e7 f4 m1
갈라고	f0 m0 e7 f5 m0 f0 m8
갈래	f0 m0 e7 f5 m1
갈래라고	f0 m0 e7 f5 m1 f5 m0 f0 m8
갈래라는	f0 m0 e7 f5 m1 f5 m0 f2 m18 e3
갈려고	f0 m0 e7 f5 m6 f0 m8
갈려면	f0 m0 e7 f5 m6 f6 m6 e3
갈릭까스	f0 m0 e7 f5 m20 e0 f1 m0 f9 m18
갈만한	f0 m0 e7 f6 m0 e3 f18 m0 e3
갈산동	f0 m0 e7 f9 m0 e3 f3 m8 e20
갈색	f0 m0 e7 f9 m1 e0
갈수록	f0 m0 e7 f9 m13 f5 m8 e0
갈아	f0 m0 e7 f11 m0
갈아엎기	f0 m0 e7 f11 m0 f11 m4 e25 f0 m20
갈아타는	f0 m0 e7 f11 m0 f16 m0 f2 m18 e3
갈아타세요	f0 m0 e7 f11 m0 f16 m0 f9 m5 f11 m12
갈아타야	f0 m0 e7 f11 m0 f16 m0 f11 m2
갈아타야하니	f0 m0 e7 f11 m0 f16 m0 f11 m2 f18 m0 f2 m20
갈아타지	f0 m0 e7 f11 m0 f16 m0 f12 m20
갈아탈	f0 m0 e7 f11 m0 f16 m0 e7
갈지	f0 m0 e7 f12 m20
갈테니	f0 m0 e7 f16 m5 f2 m20
갈테니까	f0 m0 e7 f16 m5 f2 m20 f1 m0
갈테니까요	f0 m0 e7 f16 m5 f2 m20 f1 m0 f11 m12
감	f0 m0 e15
감고	f0 m0 e15 f0 m8
감귤사료	f0 m0 e15 f0 m17 e7 f9 m0 f5 m12
감기	f0 m0 e15 f0 m20
감기가	f0 m0 e15 f0 m20 f0 m0
감기약	f0 m0 e15 f0 m20 f11 m2 e0
감독	f0 m0 e15 f3 m8 e0
감독상	f0 m0 e15 f3 m8 e0 f9 m0 e20
감독상이	f0 m0 e15 f3 m8 e0 f9 m0 e20 f11 m20
감독수업	f0 m0 e15 f3 m8 e0 f9 m13 f11 m4 e16
감독은	f0 m0 e15 f3 m8 e0 f11 m18 e3
감독의	f0 m0 e15 f3 m8 e0 f11 m19
감독이	f0 m0 e15 f3 m8 e0 f11 m20
감독이에요	f0 m0 e15 f3 m8 e0 f11 m20 f11 m5 f11 m12
감독입니다	f0 m0 e15 f3 m8 e0 f11 m20 e16 f2 m20 f3 m0
감독해임에	f0 m0 e15 f3 m8 e0 f18 m1 f11 m20 e15 f11 m5
감동을	f0 m0 e15 f3 m8 e20 f11 m18 e7
감량이	f0 m0 e15 f5 m2 e20 f11 m20
감량해야겠어	f0 m0 e15 f5 m2 e20 f18 m1 f11 m2 f0 m5 e19 f11 m4
감량했으면	f0 m0 e15 f5 m2 e20 f18 m1 e19 f11 m18 f6 m6 e3
감사	f0 m0 e15 f9 m0
감사를	f0 m0 e15 f9 m0 f5 m18 e7
감사원	f0 m0 e15 f9 m0 f11 m14 e3
감사의	f0 m0 e15 f9 m0 f11 m19
감사하다는	f0 m0 e15 f9 m0 f18 m0 f3 m0 f2 m18 e3
감사합니다	f0 m0 e15 f9 m0 f18 m0 e16 f2 m20 f3 m0
감사합니다라고	f0 m0 e15 f9 m0 f18 m0 e16 f2 m20 f3 m0 f5 m0 f0 m8
감사해	f0 m0 e15 f9 m0 f18 m1
감사해요	f0 m0 e15 f9 m0 f18 m1 f11 m12
감세	f0 m0 e15 f9 m5
감소의	f0 m0 e15 f9 m8 f11 m19
감속하세요	f0 m0 e15 f9 m8 e0 f18 m0 f9 m5 f11 m12
감수	f0 m0 e15 f9 m13
감시	f0 m0 e15 f9 m20
감식이	f0 m0 e15 f9 m20 e0 f11 m20
감싸고	f0 m0 e15 f10 m0 f0 m8
감았다	f0 m0 e15 f11 m0 e19 f3 m0
감염	f0 m0 e15 f11 m6 e15
감염성	f0 m0 e15 f11 m6 e15 f9 m4 e20
감옥서	f0 m0 e15 f11 m8 e0 f9 m4
감옥에	f0 m0 e15 f11 m8 e0 f11 m5
감은	f0 m0 e15 f11 m18 e3
감일규야	f0 m0 e15 f11 m20 e7 f0 m17 f11 m2
감자가	f0 m0 e15 f12 m0 f0 m0
감자피자를	f0 m0 e15 f12 m0 f17 m20 f12 m0 f5 m18 e7
감정	f0 m0 e15 f12 m4 e20
감정은	f0 m0 e15 f12 m4 e20 f11 m18 e3
감정을	f0 m0 e15 f12 m4 e20 f11 m18 e7
감정의	f0 m0 e15 f12 m4 e20 f11 m19
감정이	f0 m0 e15 f12 m4 e20 f11 m20
감지	f0 m0 e15 f12 m20
감지되었는지	f0 m0 e15 f12 m20 f3 m11 f11 m4 e19 f2 m18 e3 f12 m20
감지해보고	f0 m0 e15 f12 m20 f18 m1 f7 m8 f0 m8
감지해봐	f0 m0 e15 f12 m20 f18 m1 f7 m9
감지해주겠니	f0 m0 e15 f12 m20 f18 m1 f12 m13 f0 m5 e19 f2 m20
감지해주지	f0 m0 e15 f12 m20 f18 m1 f12 m13 f12 m20
감지해줄래	f0 m0 e15 f12 m20 f18 m1 f12 m13 e7 f5 m1
감지해줘	f0 m0 e15 f12 m20 f18 m1 f12 m14
감지해줘라	f0 m0 e15 f12 m20 f18 m1 f12 m14 f5 m0
감지해줘야지	f0 m0 e15 f12 m20 f18 m1 f12 m14 f11 m2 f12 m20
감쪽같이	f0 m0 e15 f13 m8 e0 f0 m0 e24 f11 m20
감천교	f0 m0 e15 f14 m4 e3 f0 m12
감천교부근	f0 m0 e15 f14 m4 e3 f0 m12 f7 m13 f0 m18 e3
감청교	f0 m0 e15 f14 m4 e20 f0 m12
감추고	f0 m0 e15 f14 m13 f0 m8
감추지	f0 m0 e15 f14 m13 f12 m20
감축	f0 m0 e15 f14 m13 e0
감치	f0 m0 e15 f14 m20
감행입니다	f0 m0 e15 f18 m1 e20 f11 m20 e16 f2 m20 f3 m0
감히	f0 m0 e15 f18 m20
갑니다	f0 m0 e16 f2 m20 f3 m0
갑부가	f0 m0 e16 f7 m13 f0 m0
갑성이	f0 m0 e16 f9 m4 e20 f11 m20
갑시다	f0 m0 e16 f9 m20 f3 m0
갑자기	f0 m0 e16 f12 m0 f0 m20
갑작스런	f0 m0 e16 f12 m0 e0 f9 m18 f5 m4 e3
값	f0 m0 e17
값은	f0 m0 e17 f11 m18 e3
값을	f0 m0 e17 f11 m18 e7
값이	f0 m0 e17 f11 m20
값진	f0 m0 e17 f12 m20 e3
갓	f0 m0 e18
갓길	f0 m0 e18 f0 m20 e7
갔나	f0 m0 e19 f2 m0
갔는데	f0 m0 e19 f2 m18 e3 f3 m5
갔는지	f0 m0 e19 f2 m18 e3 f12 m20
갔는지도	f0 m0 e19 f2 m18 e3 f12 m20 f3 m8
갔니	f0 m0 e19 f2 m20
갔다	f0 m0 e19 f3 m0
갔다가	f0 m0 e19 f3 m0 f0 m0
갔다고	f0 m0 e19 f3 m0 f0 m8
갔다오면	f0 m0 e19 f3 m0 f11 m8 f6 m6 e3
갔다온다고	f0 m0 e19 f3 m0 f11 m8 e3 f3 m0 f0 m8
갔다올게	f0 m0 e19 f3 m0 f11 m8 e7 f0 m5
갔다올께	f0 m0 e19 f3 m0 f11 m8 e7 f1 m5
갔다올테니	f0 m0 e19 f3 m0 f11 m8 e7 f16 m5 f2 m20
갔다와	f0 m0 e19 f3 m0 f11 m9
갔다와봐	f0 m0 e19 f3 m0 f11 m9 f7 m9
갔다와야	f0 m0 e19 f3 m0 f11 m9 f11 m2
갔다와야겠네	f0 m0 e19 f3 m0 f11 m9 f11 m2 f0 m5 e19 f2 m5
갔다와야해	f0 m0 e19 f3 m0 f11 m9 f11 m2 f18 m1
갔다왔어	f0 m0 e19 f3 m0 f11 m9 e19 f11 m4
갔다왔지	f0 m0 e19 f3 m0 f11 m9 e19 f12 m20
갔다줘야되지	f0 m0 e19 f3 m0 f12 m14 f11 m2 f3 m11 f12 m20
갔던	f0 m0 e19 f3 m4 e3
갔습니다	f0 m0 e19 f9 m18 e16 f2 m20 f3 m0
갔어	f0 m0 e19 f11 m4
갔어요	f0 m0 e19 f11 m4 f11 m12
갔었나	f0 m0 e19 f11 m4 e19 f2 m0
갔었냐	f0 m0 e19 f11 m4 e19 f2 m2
갔었는지	f0 m0 e19 f11 m4 e19 f2 m18 e3 f12 m20
갔었니	f0 m0 e19 f11 m4 e19 f2 m20
갔었더라	f0 m0 e19 f11 m4 e19 f3 m4 f5 m0
갔었습니다	f0 m0 e19 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
갔었어	f0 m0 e19 f11 m4 e19 f11 m4
갔었어요	f0 m0 e19 f11 m4 e19 f11 m4 f11 m12
갔었지	f0 m0 e19 f11 m4 e19 f12 m20
갔으면	f0 m0 e19 f11 m18 f6 m6 e3
갔을	f0 m0 e19 f11 m18 e7
갔지	f0 m0 e19 f12 m20
강	f0 m0 e20
강경수의	f0 m0 e20 f0 m6 e20 f9 m13 f11 m19
강경으로	f0 m0 e20 f0 m6 e20 f11 m18 f5 m8
강금실	f0 m0 e20 f0 m18 e15 f9 m20 e7
강남	f0 m0 e20 f2 m0 e15
강남과	f0 m0 e20 f2 m0 e15 f0 m9
강남구	f0 m0 e20 f2 m0 e15 f0 m13
강남권	f0 m0 e20 f2 m0 e15 f0 m14 e3
강남권입니다	f0 m0 e20 f2 m0 e15 f0 m14 e3 f11 m20 e16 f2 m20 f3 m0
강남까지	f0 m0 e20 f2 m0 e15 f1 m0 f12 m20
강남동원	f0 m0 e20 f2 m0 e15 f3 m8 e20 f11 m14 e3
강남분양가	f0 m0 e20 f2 m0 e15 f7 m13 e3 f11 m2 e20 f0 m0
강남소방서로	f0 m0 e20 f2 m0 e15 f9 m8 f7 m0 e20 f9 m4 f5 m8
강남에	f0 m0 e20 f2 m0 e15 f11 m5
강남역	f0 m0 e20 f2 m0 e15 f11 m6 e0
강남역에서	f0 m0 e20 f2 m0 e15 f11 m6 e0 f11 m5 f9 m4
강남역으로	f0 m0 e20 f2 m0 e15 f11 m6 e0 f11 m18 f5 m8
강남역이라고	f0 m0 e20 f2 m0 e15 f11 m6 e0 f11 m20 f5 m0 f0 m8
강남역이에요	f0 m0 e20 f2 m0 e15 f11 m6 e0 f11 m20 f11 m5 f11 m12
강남역입니다	f0 m0 e20 f2 m0 e15 f11 m6 e0 f11 m20 e16 f2 m20 f3 m0
강남웨딩홀	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7
강남웨딩홀까지	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f1 m0 f12 m20
강남웨딩홀은	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f11 m18 e3
강남웨딩홀의	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f11 m19
강남웨딩홀이래	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f11 m20 f5 m1
강남웨딩홀이에요	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f11 m20 f11 m5 f11 m12
강남웨딩홀인데	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f11 m20 e3 f3 m5
강남웨딩홀입니다	f0 m0 e20 f2 m0 e15 f11 m15 f3 m20 e20 f18 m8 e7 f11 m20 e16 f2 m20 f3 m0
강남으로	f0 m0 e20 f2 m0 e15 f11 m18 f5 m8
강남의	f0 m0 e20 f2 m0 e15 f11 m19
강남이	f0 m0 e20 f2 m0 e15 f11 m20
강남이라고	f0 m0 e20 f2 m0 e15 f11 m20 f5 m0 f0 m8
강남이에요	f0 m0 e20 f2 m0 e15 f11 m20 f11 m5 f11 m12
강남일	f0 m0 e20 f2 m0 e15 f11 m20 e7
강남쪽에서	f0 m0 e20 f2 m0 e15 f13 m8 e0 f11 m5 f9 m4
강도	f0 m0 e20 f3 m8
강도는	f0 m0 e20 f3 m8 f2 m18 e3
강도짓	f0 m0 e20 f3 m8 f12 m20 e18
강동	f0 m0 e20 f3 m8 e20
강동석	f0 m0 e20 f3 m8 e20 f9 m4 e0
강동원	f0 m0 e20 f3 m8 e20 f11 m14 e3
강동원에게	f0 m0 e20 f3 m8 e20 f11 m14 e3 f11 m5 f0 m5
강동원이라고	f0 m0 e20 f3 m8 e20 f11 m14 e3 f11 m20 f5 m0 f0 m8
강등되고	f0 m0 e20 f3 m18 e20 f3 m11 f0 m8
강량도	f0 m0 e20 f5 m2 e20 f3 m8
강력	f0 m0 e20 f5 m6 e0
강력반발이	f0 m0 e20 f5 m6 e0 f7 m0 e3 f7 m0 e7 f11 m20
강력반발입니다	f0 m0 e20 f5 m6 e0 f7 m0 e3 f7 m0 e7 f11 m20 e16 f2 m20 f3 m0
강력범	f0 m0 e20 f5 m6 e0 f7 m4 e15
강력한	f0 m0 e20 f5 m6 e0 f18 m0 e3
강력히	f0 m0 e20 f5 m6 e0 f18 m20
강렬한	f0 m0 e20 f5 m6 e7 f18 m0 e3
강릉	f0 m0 e20 f5 m18 e20
강릉과	f0 m0 e20 f5 m18 e20 f0 m9
강릉날씨가	f0 m0 e20 f5 m18 e20 f2 m0 e7 f10 m20 f0 m0
강릉시에	f0 m0 e20 f5 m18 e20 f9 m20 f11 m5
강릉에	f0 m0 e20 f5 m18 e20 f11 m5
강릉에서	f0 m0 e20 f5 m18 e20 f11 m5 f9 m4
강릉으로	f0 m0 e20 f5 m18 e20 f11 m18 f5 m8
강릉은	f0 m0 e20 f5 m18 e20 f11 m18 e3
강릉의	f0 m0 e20 f5 m18 e20 f11 m19
강릉이야	f0 m0 e20 f5 m18 e20 f11 m20 f11 m2
강릉이에요	f0 m0 e20 f5 m18 e20 f11 m20 f11 m5 f11 m12
강릉입니다	f0 m0 e20 f5 m18 e20 f11 m20 e16 f2 m20 f3 m0
강릉지역에	f0 m0 e20 f5 m18 e20 f12 m20 f11 m6 e0 f11 m5
강릉지역의	f0 m0 e20 f5 m18 e20 f12 m20 f11 m6 e0 f11 m19
강릉하고	f0 m0 e20 f5 m18 e20 f18 m0 f0 m8
강민숙이네	f0 m0 e20 f6 m20 e3 f9 m13 e0 f11 m20 f2 m5
강민정에게	f0 m0 e20 f6 m20 e3 f12 m4 e20 f11 m5 f0 m5
강변	f0 m0 e20 f7 m6 e3
강변대로에서	f0 m0 e20 f7 m6 e3 f3 m1 f5 m8 f11 m5 f9 m4
강변소방소로	f0 m0 e20 f7 m6 e3 f9 m8 f7 m0 e20 f9 m8 f5 m8
강변영화관	f0 m0 e20 f7 m6 e3 f11 m6 e20 f18 m9 f0 m9 e3
강보합세가	f0 m0 e20 f7 m8 f18 m0 e16 f9 m5 f0 m0
강부장님	f0 m0 e20 f7 m13 f12 m0 e20 f2 m20 e15
강부장님으로	f0 m0 e20 f7 m13 f12 m0 e20 f2 m20 e15 f11 m18 f5 m8
강북	f0 m0 e20 f7 m13 e0
강북은	f0 m0 e20 f7 m13 e0 f11 m18 e3
강사모집을	f0 m0 e20 f9 m0 f6 m8 f12 m20 e16 f11 m18 e7
